table_schema,table_name,index_name,index_def,is_unique,is_primary
public,addresses,addresses_pkey,CREATE UNIQUE INDEX addresses_pkey ON public.addresses USING btree (id),t,t
public,addresses,ix_addresses_order_scope,"CREATE INDEX ix_addresses_order_scope ON public.addresses USING btree (order_id, scope, address_type)",f,f
public,addresses,ix_addresses_user_scope,"CREATE INDEX ix_addresses_user_scope ON public.addresses USING btree (user_id, scope, address_type)",f,f
public,addresses,ux_user_default_address,"CREATE UNIQUE INDEX ux_user_default_address ON public.addresses USING btree (user_id, address_type) WHERE ((scope = 'user'::text) AND (is_default = true))",t,f
public,campaigns,campaigns_pkey,CREATE UNIQUE INDEX campaigns_pkey ON public.campaigns USING btree (id),t,t
public,campaigns,campaigns_slug_key,CREATE UNIQUE INDEX campaigns_slug_key ON public.campaigns USING btree (slug),t,f
public,campaigns,idx_campaigns_status_published,"CREATE INDEX idx_campaigns_status_published ON public.campaigns USING btree (status, published_at DESC)",f,f
public,cart_items,cart_items_cart_id_product_id_key,"CREATE UNIQUE INDEX cart_items_cart_id_product_id_key ON public.cart_items USING btree (cart_id, product_id)",t,f
public,cart_items,cart_items_pkey,CREATE UNIQUE INDEX cart_items_pkey ON public.cart_items USING btree (id),t,t
public,cart_items,idx_cart_items_cart,CREATE INDEX idx_cart_items_cart ON public.cart_items USING btree (cart_id),f,f
public,cart_items,idx_cart_items_product,CREATE INDEX idx_cart_items_product ON public.cart_items USING btree (product_id),f,f
public,cart_items,idx_cart_items_seller,CREATE INDEX idx_cart_items_seller ON public.cart_items USING btree (seller_id),f,f
public,cart_items,idx_cart_items_user,CREATE INDEX idx_cart_items_user ON public.cart_items USING btree (user_id),f,f
public,carts,carts_pkey,CREATE UNIQUE INDEX carts_pkey ON public.carts USING btree (id),t,t
public,carts,carts_user_id_key,CREATE UNIQUE INDEX carts_user_id_key ON public.carts USING btree (user_id),t,f
public,categories,categories_name_key,CREATE UNIQUE INDEX categories_name_key ON public.categories USING btree (name),t,f
public,categories,categories_pkey,CREATE UNIQUE INDEX categories_pkey ON public.categories USING btree (id),t,t
public,categories,categories_slug_key,CREATE UNIQUE INDEX categories_slug_key ON public.categories USING btree (slug),t,f
public,contact_messages,contact_messages_pkey,CREATE UNIQUE INDEX contact_messages_pkey ON public.contact_messages USING btree (id),t,t
public,contact_messages,idx_contact_messages_contact_id,"CREATE INDEX idx_contact_messages_contact_id ON public.contact_messages USING btree (contact_id, created_at)",f,f
public,contact_messages,idx_contact_messages_sender,"CREATE INDEX idx_contact_messages_sender ON public.contact_messages USING btree (sender_type, sender_id)",f,f
public,contacts,contacts_pkey,CREATE UNIQUE INDEX contacts_pkey ON public.contacts USING btree (id),t,t
public,contacts,idx_contacts_category,CREATE INDEX idx_contacts_category ON public.contacts USING btree (category),f,f
public,contacts,idx_contacts_created_at,CREATE INDEX idx_contacts_created_at ON public.contacts USING btree (created_at DESC),f,f
public,contacts,idx_contacts_email,CREATE INDEX idx_contacts_email ON public.contacts USING btree (email),f,f
public,contacts,idx_contacts_status,CREATE INDEX idx_contacts_status ON public.contacts USING btree (status),f,f
public,contacts,idx_contacts_subject_body_trgm,"CREATE INDEX idx_contacts_subject_body_trgm ON public.contacts USING gin ((((COALESCE(subject, ''::text) || ' '::text) || COALESCE(message, ''::text))) gin_trgm_ops)",f,f
public,contacts,idx_contacts_subject_trgm,CREATE INDEX idx_contacts_subject_trgm ON public.contacts USING gin (subject gin_trgm_ops),f,f
